show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s137,Movie,Cold Mountain,Anthony Minghella,"Jude Law, Nicole Kidman, Renée Zellweger, Eileen Atkins, Brendan Gleeson, Philip Seymour Hoffman, Natalie Portman, Giovanni Ribisi, Donald Sutherland, Ray Winstone","United States, Italy, Romania, United Kingdom","September 1, 2021",2003,R,154 min,"Dramas, Romantic Movies","This drama follows a wounded Civil War soldier making the long journey home, while his faraway love fights for survival on her deceased father's farm."
s154,TV Show,Kid-E-Cats,,"Lori Gardner, Kate Bristol, Billy Bob Thompson, Marc Thompson, Erica Schroeder",Russia,"September 1, 2021",2016,TV-Y,2 Seasons,Kids' TV,"Cookie, Pudding and Candy are kitten siblings whose favorite things are sweet treats and letting their curiosity lead them on adventures in learning."
s171,Movie,Rhyme & Reason,Peter Spirer,"Too $hort, B-Real, Kurtis Blow, Da Brat, Grandmaster Caz, Sean ""P. Diddy"" Combs, Chuck D., Desiree Densiti, Dr. Dre, E-40, MC Eiht, Heavy D, Lauryn Hill, Ice-T, Wyclef Jean, Ras Kass, KRS-One, L.V., Mack 10, Craig Mack, Method Man, Keith Murray, Nasir 'Nas' Jones, The Notorious B.I.G., Master P, Q-Tip, Raekwon, Redman, Senen Reyes, Busta Rhymes, RZA, DJ Scratch, Erick Sermon, Tupac Shakur, Adario Strange, Suave",United States,"September 1, 2021",1997,R,89 min,"Documentaries, Music & Musicals","The world and culture of rap song topics such as race, violence, police, family and sex are examined by hip-hop performers from both coasts."
s188,TV Show,The Ingenuity of the Househusband,,Kenjiro Tsuda,,"August 29, 2021",2021,TV-G,1 Season,"International TV Shows, TV Comedies",A tough guy with a knack for housework tackles household tasks with meticulous care in these comedic live-action vignettes.
s205,Movie,Kyaa Super Kool Hain Hum,Sachin Yardi,"Tusshar Kapoor, Riteish Deshmukh, Anupam Kher, Rohit Shetty, Neha Sharma, Chunky Pandey, Sarah-Jane Dias, Razak Khan, Kavin Dave",India,"August 27, 2021",2012,TV-MA,136 min,"Comedies, International Movies",An aspiring actor and a struggling DJ team up to pursue the ladies they love and a diamond that rightfully belongs to their oversexed dog.
s222,Movie,"Bob Ross: Happy Accidents, Betrayal & Greed",Joshua Rofé,Bob Ross,,"August 25, 2021",2021,TV-14,93 min,Documentaries,Bob Ross brought joy to millions as the world’s most famous art instructor. But a battle for his business empire cast a shadow over his happy trees.
s239,Movie,Boomika (Malayalam),Rathindran R Prasad,"Aishwarya Rajesh, Vidhu, Surya Ganapathy, Madhuri, Pavel Navageethan, Avantika Vandanapu",,"August 23, 2021",2021,TV-14,122 min,"Horror Movies, International Movies, Thrillers","Paranormal activity at a lush, abandoned property alarms a group eager to redevelop the site, but the eerie events may not be as unearthly as they think."
s256,Movie,Memories of a Murderer: The Nilsen Tapes,Michael Harte,,,"August 18, 2021",2021,TV-MA,86 min,"Documentaries, International Movies",Serial killer Dennis Nilsen narrates his life and horrific crimes via a series of chilling audiotapes recorded from his jail cell.
s273,TV Show,Fast & Furious Spy Racers,,"Tyler Posey, Charlet Chung, Jorge Diaz, Camille Ramsey, Luke Youngblood, Renée Elise Goldsberry",United States,"August 13, 2021",2021,TV-Y7,5 Seasons,Kids' TV,A government agency recruits teen driver Tony Toretto and his thrill-seeking friends to infiltrate a criminal street racing circuit as undercover spies.
s290,TV Show,The Crowned Clown,,"Yeo Jin-goo, Lee Se-young, Kim Sang-kyung, Jung Hye-young, Jang Kwang, Kwon Hae-hyo, Jang Yeong-nam, Lee Kyu-han",South Korea,"August 10, 2021",2019,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas","Standing in for an unhinged Joseon king, a look-alike clown plays the part but increasingly becomes devoted to protecting the throne and the people."
s307,Movie,'76,Izu Ojukwu,"Ramsey Nouah, Rita Dominic, Chidi Mokeme, Ibinabo Fiberesima, Daniel K. Daniel, Memry Savanhu, Adonijah Owiriwa, Pat Nebo, Nelly Ekwereogu, Shuaibu Ebenesi Adams, Debo Oguns, Ben Nwosu, Ada Ofoegbu",Nigeria,"August 4, 2021",2016,TV-PG,118 min,"Dramas, International Movies","When her husband is accused of taking part in an attempted military coup, a pregnant woman's life takes an emotional turn. Inspired by true events."
s324,TV Show,30 Rock,,"Tina Fey, Alec Baldwin, Tracy Morgan, Jane Krakowski, Jack McBrayer, Scott Adsit, Judah Friedlander, Katrina Bowden, Keith Powell, Lonny Ross, John Lutz, Kevin Brown, Grizz Chapman, Maulik Pancholy",United States,"August 1, 2021",2012,TV-14,7 Seasons,TV Comedies,Liz Lemon juggles the demands of running an NBC sketch comedy show with trying to fix her disaster of a personal life and eating her night cheese.
s341,Movie,Inception,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Tom Hardy, Ken Watanabe, Dileep Rao, Cillian Murphy, Tom Berenger, Marion Cotillard, Pete Postlethwaite, Michael Caine, Lukas Haas","United States, United Kingdom","August 1, 2021",2010,PG-13,148 min,"Action & Adventure, Sci-Fi & Fantasy, Thrillers",A troubled thief who extracts secrets from people's dreams takes one last job: leading a dangerous mission to plant an idea in a target's subconscious.
s358,Movie,The Machinist,Brad Anderson,"Christian Bale, Jennifer Jason Leigh, Aitana Sánchez-Gijón, John Sharian, Michael Ironside, Lawrence Gilliard Jr., Reg E. Cathey, Anna Massey, Matthew Romero, Robert Long, Colin Stinton, Craig Stevenson","Spain, France, United Kingdom, United States","August 1, 2021",2004,R,102 min,"Dramas, Independent Movies, Thrillers","Haunted and gaunt after a prolonged bout of insomnia, factory worker Trevor Reznik begins to question his sanity amid a series of mysterious events."
s375,Movie,Flower Girl,Michelle Bello,"Damilola Adegbite, Chris Attoh, Chuks Chukwujekwu, Blossom Chukwujekwu, Eku Edewor, Bikiya Graham Douglas",Nigeria,"July 29, 2021",2013,TV-PG,94 min,"Comedies, International Movies, Romantic Movies","When a young florist who's long dreamed of her wedding day gets dumped by her boyfriend, she sets out to win him back with help from a handsome actor."
s392,TV Show,Wynonna Earp,,"Melanie Scrofano, Shamier Anderson, Tim Rozon, Dominique Provost-Chalkley, Michael Eklund, Katherine Barrell, Greg Lawson, Natascha Girgis","Canada, United States","July 26, 2021",2020,TV-MA,4 Seasons,"International TV Shows, TV Action & Adventure, TV Dramas",The outcast descendant of lawman Wyatt Earp teams up with an immortal Doc Holliday to rid the world of demonic revenants from the Wild West.
s409,Movie,Chhota Bheem & Krishna: Mayanagari,Rajiv Chilaka,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",,"July 22, 2021",2011,TV-Y7,67 min,Children & Family Movies,Young lord Krishna has fallen for demoness Maayandri’s revenge plot against him! Can Bheem rescue him and thwart Maayandri’s other destructive plans?
s426,TV Show,Chicago Med,,"Colin Donnell, Torrey DeVitto, Oliver Platt, S. Epatha Merkerson, Nick Gehlfuss, Yaya DaCosta, Laurie Holden",United States,"July 22, 2021",2019,TV-14,5 Seasons,TV Dramas,"The doctors and nurses of Gaffney Chicago Medical Center juggle the busy ER's dramas and dangers in this spinoff of ""Chicago Fire"" and ""Chicago P.D."""
s443,TV Show,Johnny Test,,"James Arnold Taylor, Trevor Devall, Maryke Hendrikse, Emily Tennant","United States, Canada","July 16, 2021",2021,TV-Y7,1 Season,"Kids' TV, TV Comedies","How much trouble could one imaginative boy, his faithful dog and two science-loving sisters possibly get into? Hmm, that sounds like a challenge!"
s460,TV Show,Never Have I Ever,,"Maitreyi Ramakrishnan, Poorna Jagannathan, Richa Moorjani, Jaren Lewison, Darren Barnet, John McEnroe, Ramona Young, Lee Rodriguez, Sendhil Ramamurthy, Adam Shapiro, Niecy Nash, Cocoa Brown, Lily D. Moore, Eddie Liu",United States,"July 15, 2021",2021,TV-14,2 Seasons,"TV Comedies, TV Dramas, Teen TV Shows","After a traumatic year, all an Indian-American teen wants is to go from pariah to popular — but friends, family and feelings won’t make it easy on her."
s477,Movie,The Tour,Juraj Šajmovič,"Miloš Knor, Lukáš Pavlásek, Tomáš Matonoha, Ester Kočičková, Michal Kavalčík, Richard Nedvěd",,"July 10, 2021",2016,TV-MA,93 min,"Comedies, Documentaries, International Movies","Miloš Knor brings comedians Lukáš Pavlásek, Tomáš Matonoha, Ester Kočičková, Michal Kavalčík and Richard Nedvěd on a tour around the Czech Republic."
s494,TV Show,RESIDENT EVIL: Infinite Darkness,,"Nick Apostolides, Stephanie Panisello, Ray Chase, Jona Xiao, Billy Kametz, Joe J. Thomas, Doug Stone, Brad Venable, Toshiyuki Morikawa, Yuhko Kaida, Fumihiko Tachiki, Megumi Han, Kenji Nojima, Kazuhiko Inoue, Aruno Tahara, Mitsuru Ogata","United States, Japan","July 8, 2021",2021,TV-MA,1 Season,"Anime Series, TV Horror, TV Thrillers","Years after the horrors of Raccoon City, Leon and Claire find themselves consumed by a dark conspiracy when a viral attack ravages the White House."
s511,TV Show,Between,,"Jennette McCurdy, Jesse Carere, Ryan Allen, Justin Kelly, Kyle Mac, Jack Murray, Brooke Palsson, Jim Watson, Wesley Morgan, Krystal Hope Nausbaum, Shailene Garnett, Canute Gomes, Sarah Podemski, Shailyn Pierre-Dixon, Jesse Bostick, Steven Grayhm, Percy Hynes White, Mercedes Morris, Samantha Munro",Canada,"July 6, 2021",2016,TV-14,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries","After a mysterious disease kills every resident over 22 years old, survivors of a town must fend for themselves when the government quarantines them."
s528,TV Show,Puffin Rock,,"Chris O'Dowd, Kate McCafferty, Sally McDaid, Geraldine Cole, Brian McMonagle, Darragh Gargan","Ireland, United States, United Kingdom","July 6, 2021",2016,TV-Y,2 Seasons,Kids' TV,"Life is sweet on beautiful Puffin Rock, where puffling Oona, her baby brother Baba and their pals learn about nature, friendship and family."
s545,TV Show,Workin' Moms,,"Catherine Reitman, Dani Kind, Juno Rinaldi, Jessalyn Wanlim, Philip Sternberg, Ryan Belleville, Olunike Adeliyi, Dennis Andres, Katherine Barrell, Sarah McVie, Peter Keleghan",Canada,"July 6, 2021",2021,TV-MA,5 Seasons,"International TV Shows, TV Comedies","Maternity leave is over and it's time for these four moms to return to work while navigating kids, bosses, love and life in modern-day Toronto."
s562,Movie,Austin Powers in Goldmember,Jay Roach,"Mike Myers, Beyoncé Knowles-Carter, Seth Green, Michael York, Robert Wagner, Mindy Sterling, Verne Troyer, Michael Caine, Fred Savage",United States,"July 1, 2021",2002,PG-13,94 min,"Action & Adventure, Comedies","The world's most shagadelic spy continues his fight against the diabolical Dr. Evil, who's teamed with a new foe: 1970s villain Goldmember."
s579,Movie,Memoirs of a Geisha,Rob Marshall,"Zhang Ziyi, Ken Watanabe, Koji Yakusho, Michelle Yeoh, Kaori Momoi, Youki Kudoh, Gong Li, Cary-Hiroyuki Tagawa, Mako Iwamatsu, Navia Nguyen, Karl Yune","France, Japan, United States","July 1, 2021",2005,PG-13,145 min,"Dramas, Romantic Movies","Sold to a geisha house as a child, a fisherman’s daughter becomes the most sought-after geisha in Kyoto, but rivalries threaten the destiny she desires."
s596,Movie,Stuart Little,Rob Minkoff,"Michael J. Fox, Jonathan Lipnicki, Geena Davis, Hugh Laurie, Nathan Lane","Germany, United States","July 1, 2021",1999,PG,85 min,"Children & Family Movies, Comedies","When his parents adopt a mouse instead of a little boy, George realizes brothers come in all shapes and sizes. But Snowbell the cat is not so welcoming."
s613,Movie,Underworld: Rise of the Lycans,Patrick Tatopoulos,"Michael Sheen, Bill Nighy, Rhona Mitra, Steven Mackintosh, Kevin Grevioux, David Aston, Geraldine Brophy, Leighton Cardno, Alex Carroll, Elizabeth Hawthorne, Jason Hood","United States, New Zealand","July 1, 2021",2009,R,92 min,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy","Set in the year 1402, this prequel follows Lucian, the first werewolf to take human form, and chronicles the feud between the vampires and the Lycans."
s630,Movie,A Way Back Home,B. T Thomas,"Alexx Ekubo, Ik Ogbonna, Bimbo Manuel, Haillie Sumney, Clem Ohameze, John Fashanu, Damilola Ogunsi, Amb. Rachel Bakam, Alexandra Ayo, Mariah Ug",,"June 28, 2021",2020,TV-14,82 min,"Dramas, International Movies","After receiving a terminal diagnosis, a man fakes an accident to spare his family’s grief and must deal with the fallout of his deception."
s647,Movie,The House of Flowers: The Movie,Manolo Caro,"Cecilia Suárez, Aislinn Derbez, Darío Yazbek, Juan Pablo Medina, Paco León, Angélica María, Norma Angélica, Luis De La Rosa, Isabel Burr, Tiago Correa, Tessa Ia, Christian Chávez, Javier Jattin, Paco Rueda, Emilio Cuaik, Andrea Chaparro, David Ostrosky, Ximena Sariñana",,"June 23, 2021",2021,TV-MA,88 min,"Comedies, International Movies, Music & Musicals",The De La Mora siblings concoct a mischievous plan to break into their old family home to retrieve a hidden treasure of significant importance.
s664,TV Show,Charité at War,,"Mala Emde, Ulrich Noethen, Jannik Schümann, Artjom Gilz, Luise Wolfram, Jacob Matschenz, Frida-Lovisa Hamann, Lukas Miko, Susanne Böwe",,"June 19, 2021",2019,TV-MA,1 Season,"International TV Shows, TV Dramas","In 1943, the staff at Berlin's Charité hospital struggle against the effects of World War II and the Nazi regime, including eugenic medical practices."
s681,TV Show,The Last Dance,,"Michael Jordan, Scottie Pippen, Dennis Rodman",United States,"June 19, 2021",2020,TV-MA,1 Season,Docuseries,"This docuseries gives a definitive account of Michael Jordan’s career and the 1990s Chicago Bulls, packed with unaired footage from the 1997-98 season."
s698,TV Show,Elite Short Stories: Carla Samuel,,"Ester Expósito, Itzan Escamilla",,"June 17, 2021",2021,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows","Samuel attempts a big, romantic gesture at the airport in order to persuade Carla not to board her flight to London."
s715,TV Show,Beyond Evil,,"Shin Ha-kyun, Yeo Jin-goo, Choi Dae-hoon, Choi Sung-eun, Cheon Ho-jin, Choi Jin-ho",,"June 15, 2021",2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Thrillers","As a killing resembling a cold case resurfaces in a small town, the chase for the truth falls on two policemen who each harbor secrets of their own."
s732,TV Show,Love (ft. Marriage and Divorce),,"Sung Hoon, Lee Tae-gon, Park Joo-mi, Lee Ga-ryoung, Lee Min-young, Jeon No-min, Jeon Soo-kyeong, Lim Hye-young, Song Ji-in, Moon Sung-ho, Roh Joo-hyun, Kim Ameliia, Kim Eung-soo, Lee Jong-nam, Lee Hyo-chun, Jun Hye-won, Lim Han-bin, Park Seo-kyung, Shin Su-ho, Yun Seo-hyun",South Korea,"June 12, 2021",2021,TV-14,2 Seasons,"International TV Shows, TV Dramas","Everything comes unraveling for three successful women who work on a radio show as twists, turns and troubles plague their seemingly happy marriages."
s749,TV Show,"Fresh, Fried & Crispy",,,United States,"June 9, 2021",2021,TV-PG,1 Season,Reality TV,"Passionate about food and ready for fun, critic Daym Drops drops in on America's smokin' hot spots for the best, freshest takes on fried food."
s766,Movie,Xtreme,Daniel Benmayor,"Teo García, Óscar Jaenada, Óscar Casas, Andrea Duro, Sergio Peris-Mencheta, Alberto Jo Lee, Luis Zahera, Andrés Herrera, Nao Albet, César Bandera, Isa Montalbán",Spain,"June 4, 2021",2021,TV-MA,112 min,"Action & Adventure, International Movies","In this fast-paced and action-packed thriller, a retired hitman — along with his sister and a troubled teen — takes revenge on his lethal stepbrother."
s783,Movie,Bliss,Lance Young,"Craig Sheffer, Sheryl Lee, Terence Stamp, Casey Siemaszko, Spalding Gray, Lois Chiles, Blu Mankuma, Ken Camroux-Taylor, Eli Gabay, Molly Parker","Canada, United States","June 2, 2021",1997,R,103 min,"Dramas, Romantic Movies","Two young newlyweds seek out the help of unlicensed sex therapist Baltazar, who initiates the couple into the mysteries of tantric sex."
s800,Movie,Million Dollar Baby,Clint Eastwood,"Clint Eastwood, Hilary Swank, Morgan Freeman, Anthony Mackie, Jay Baruchel, Mike Colter, Lucia Rijker, Brían F. O'Byrne, Margo Martindale, Riki Lindhome",United States,"June 2, 2021",2004,PG-13,133 min,"Dramas, Sports Movies","When a cantankerous trainer mentors a persistent amateur boxer determined to go pro, deep-seated emotions become their strongest opponents."
s817,Movie,The Interpreter,Sydney Pollack,"Nicole Kidman, Sean Penn, Catherine Keener, Jesper Christensen, Yvan Attal, Earl Cameron, George Harris, Michael Wright, Clyde Kusatsu, Eric Keenleyside, Hugo Speer","United Kingdom, France, Germany, United States","June 2, 2021",2005,PG-13,128 min,Thrillers,Silvia Broome is a translator at the United Nations. But her job turns perilous when she overhears a plot to assassinate a government official.
s834,TV Show,Black Space,,"Guri Alfi, Shai Avivi, Assi Levy, Reut Alush, Meirav Shirom, Yoav Rotman, Liana Ayoun, Noam Karmeli, Hadas Jade Sakori, Yehonatan Vilozny, Gily Itskovitch, Oneg Efron, Suzanna Papian, Ori Biton, Nir Hasdai, Leib Lev Levin, Eyal Shikratzi",Israel,"May 27, 2021",2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",A rogue detective with unorthodox means leads an investigation into a massacre committed by unicorn mask-wearing assassins at an Israeli high school.
s851,Movie,99 Songs,Vishwesh Krishnamoorthy,"Ehan Bhat, Edilsy Vargas, Manisha Koirala, Lisa Ray, Tenzin Dalha, Warina Hussain, Ranjit Barot, Neel Tyagi, Rahul Ram, Diwakar Pundir",India,"May 21, 2021",2021,TV-14,131 min,"Dramas, International Movies, Music & Musicals","Challenged to compose 100 songs before he can marry the girl he loves, a tortured but passionate singer-songwriter embarks on a poignant musical journey."
s868,Movie,The Last Days,James Moll,,United States,"May 19, 2021",1998,PG-13,87 min,Documentaries,This Oscar-winning documentary recounts the harrowing stories of five Hungarian Jews who endured the horrors of the Holocaust and Hitler's reign.
s885,TV Show,Move to Heaven,,"Lee Je-hoon, Tang Jun-sang, Hong Seung-hee, Ji Jin-hee, Lim Won-hee, Choi Soo-young",South Korea,"May 14, 2021",2021,TV-MA,1 Season,"International TV Shows, TV Dramas","Finding life in all that’s left behind, a detail-oriented trauma cleaner and his estranged uncle deliver untold stories of the departed to loved ones."
s902,Movie,Deadly Switch,Svetlana Cvetko,"Teri Polo, Dylan Walsh, Danika Yarosh, Hayley McLaughlin, Bryce Durfee, Matt Passmore, Heather Mazur, Ashlyn Pearce",United States,"May 10, 2021",2019,TV-PG,86 min,"Independent Movies, Thrillers","In this indie thriller, a foreign exchange student moves in with her roommate's family who grieves over the daughter they would do anything to get back."
s919,TV Show,Lava Ka Dhaava,,"Jaaved Jaaferi, Rutledge Wood",India,"May 5, 2021",2021,TV-PG,1 Season,Reality TV,Actor Jaaved Jaafferi brings his signature humor to this Hindi dubbing of the show where teams creatively navigate rooms flooded with make-believe lava.
s936,Movie,Madagascar 3: Europe's Most Wanted,"Eric Darnell, Tom McGrath, Conrad Vernon","Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith, Sacha Baron Cohen, Cedric the Entertainer, Andy Richter, Tom McGrath, Frances McDormand, Jessica Chastain, Bryan Cranston, Martin Short",United States,"May 1, 2021",2012,PG,96 min,"Children & Family Movies, Comedies","Next stop: New York! But to get back home, Alex and friends must hitch a ride with a traveling European circus and evade an evil animal-control officer."
s953,Movie,The Whole Nine Yards,Jonathan Lynn,"Bruce Willis, Matthew Perry, Rosanna Arquette, Michael Clarke Duncan, Natasha Henstridge, Amanda Peet, Kevin Pollak, Harland Williams, Carmen Ferland, Serge Christianssens",United States,"May 1, 2021",2000,R,99 min,"Action & Adventure, Comedies",An unhappily married dentist becomes mixed up with mobsters and murder plots when he discovers that a notorious hit man has moved in next door.
s970,Movie,August: Osage County,John Wells,"Meryl Streep, Julia Roberts, Chris Cooper, Ewan McGregor, Margo Martindale, Sam Shepard, Dermot Mulroney, Julianne Nicholson, Juliette Lewis, Abigail Breslin, Benedict Cumberbatch, Misty Upham",United States,"April 27, 2021",2014,R,121 min,Dramas,"When their father disappears, three strong-willed women return to their childhood home and to their equally strong-willed mother."
s987,Movie,Kocan Kadar Konus 2: Dirilis,Kıvanç Baruönü,"Ezgi Mola, Murat Yıldırım, Gülenay Kalkan, Nevra Serezli, Eda Ece",Turkey,"April 23, 2021",2016,TV-14,104 min,"Comedies, International Movies, Romantic Movies","Efsun has found Mr. Right in Sinan, and their relationship is taking a serious turn. But their eccentric families quickly complicate the romance."
s1004,TV Show,Zero,,"Giuseppe Dave Seke, Haroun Fall, Beatrice Grannò, Dylan Magon, Daniela Scattolin, Madior Fall, Virgina Diop",Italy,"April 21, 2021",2021,TV-MA,1 Season,"International TV Shows, TV Comedies, TV Dramas","A shy teen with the power to turn invisible must get it under control to help defend his neighborhood, putting aside the pursuit of his artistic dream."
s1021,Movie,Madness in the Desert,Satyajit Bhatkal,"Aamir Khan, Ashutosh Gowariker",India,"April 17, 2021",2004,TV-14,141 min,"Documentaries, International Movies","The story of making ""Lagaan,"" one of the millennium's seminal Indian films, is told from the point of view of production team member Satyajit Bhatkal."
s1038,Movie,Tuesdays & Fridays,Taranveer Singh,"Anmol Thakeria Dhillon, Jhataleka, Niki Walia, Kamini Khanna, Zoa Morani, Nayan Shukla, Eklavyey Kashyap, Reem Shaikh",India,"April 16, 2021",2021,TV-14,106 min,"Comedies, Dramas, International Movies","To avoid the burden of commitment, a young lawyer and a writer agree to be romantic partners only two days a week. That won’t get complicated — right?"
s1055,Movie,Wave of Cinema: One Day We'll Talk About Today,Adriano Rudiman,"Isyana Sarasvati, Kunto Aji, Sisir Tanah, Chiki Fawzi, ARAH, Hindia, Ardhito Pramono, Rio Dewanto, Angga Dwimas Sasongko, Rachel Amanda",,"April 15, 2021",2020,TV-14,71 min,"Documentaries, International Movies, Music & Musicals","Delve into a musical concert and relive moments from ""One Day We'll Talk About Today,"" a film about family and intergenerational trauma."
s1072,Movie,Motu Patlu in Hong Kong: Kung Fu Kings 3,Suhas Kadav,"Saurav Chakraborty, Sankalp Rastogi, Anamaya Varma, Aditya Raaj, Manoj Pandey",,"April 13, 2021",2017,TV-Y7,84 min,"Children & Family Movies, Music & Musicals","With a dangerous villain to defeat in Hong Kong, Motu takes his martial arts skills to the next level, training with a boneless master to face the foe."
s1089,Movie,Thunder Force,Ben Falcone,"Melissa McCarthy, Octavia Spencer, Jason Bateman, Bobby Cannavale, Pom Klementieff, Melissa Leo, Taylor Mosby, Marcella Lowery, Melissa Ponzio",United States,"April 9, 2021",2021,PG-13,107 min,"Action & Adventure, Comedies",Two childhood best friends reunite as an unlikely crime-fighting superhero duo when one invents a formula that gives ordinary people superpowers.
